State,Zipcode,Recipients_Total,Grants_Total,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
Florida,32317,1,2341.0,14876.0,1974.0,12199.0,13931.0,945.0,86000US32317,101385.0,5.3,783.0,No
Florida,32320,3,1169272.45,3887.0,807.0,2961.0,3762.0,125.0,86000US32320,55000.0,16.42,633.0,No
Florida,32321,1,452026.04,6321.0,1371.0,4824.0,5929.0,392.0,86000US32321,39811.0,18.71,921.0,No
Florida,32327,1,30180.18,28525.0,4629.0,23512.0,27523.0,1002.0,86000US32327,73726.0,11.61,2911.0,No
Florida,32328,1,49717.44,3415.0,83.0,3302.0,3288.0,127.0,86000US32328,53000.0,20.33,680.0,No
Florida,32333,1,88762.16,11314.0,4866.0,6300.0,10891.0,423.0,86000US32333,59455.0,17.74,1890.0,No
Florida,32340,1,330953.42,11374.0,5127.0,6092.0,10756.0,618.0,86000US32340,49786.0,28.98,2724.0,No
Florida,32343,1,30514.0,3221.0,2844.0,344.0,3038.0,183.0,86000US32343,73571.0,4.9,157.0,No
Florida,32344,3,173223.04,12356.0,4635.0,7623.0,11875.0,481.0,86000US32344,60928.0,17.62,1798.0,No
Florida,32348,4,372700.34,12935.0,3947.0,8818.0,11894.0,1041.0,86000US32348,48750.0,21.37,1975.0,No
Florida,32350,1,291341.76,1272.0,107.0,1177.0,1164.0,108.0,86000US32350,49539.0,16.75,213.0,No
Florida,32351,3,179638.5,18720.0,10258.0,7499.0,15870.0,2850.0,86000US32351,41367.0,30.81,5023.0,No
Florida,32359,1,75069.0,1271.0,0.0,1235.0,1271.0,0.0,86000US32359,42470.0,15.74,200.0,No
Florida,32399,1,156490.75,0.0,0.0,0.0,0.0,0.0,86000US32399,N/A,N/A,N/A,No
Florida,32401,4,302306.97,22027.0,7052.0,15213.0,20795.0,1232.0,86000US32401,47665.0,25.54,5538.0,No
Florida,32404,4,423752.92,39503.0,6087.0,31360.0,36672.0,2831.0,86000US32404,67955.0,13.32,5148.0,No
Florida,32405,3,314892.16,32239.0,5026.0,26411.0,29611.0,2628.0,86000US32405,64405.0,16.89,5372.0,No
Florida,32407,5,1214315.45,10822.0,733.0,9709.0,9870.0,952.0,86000US32407,75135.0,8.79,938.0,No
Florida,32408,10,1092149.55,18864.0,853.0,17364.0,18005.0,859.0,86000US32408,79016.0,15.17,2851.0,No
Florida,32413,7,591292.68,14805.0,472.0,13546.0,13936.0,869.0,86000US32413,77177.0,7.92,1172.0,No
Florida,32421,1,53989.09,4834.0,55.0,4662.0,4709.0,125.0,86000US32421,50398.0,14.71,711.0,No
