Zipcode,Total,Black,White,NotHisp_Latino,Hisp_Latino,geoid,Median_Income,Below_Poverty_Percent,Below_Poverty_Total,Updated
32185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32187,1871.0,454.0,1403.0,1854.0,17.0,86000US32187,47574.0,13.68,256.0,No
32189,5874.0,416.0,5439.0,5562.0,312.0,86000US32189,40714.0,24.67,1444.0,No
32190,1309.0,127.0,682.0,496.0,813.0,86000US32190,53188.0,16.5,216.0,No
32192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32193,705.0,285.0,423.0,704.0,1.0,86000US32193,62700.0,26.16,181.0,No
32195,2926.0,168.0,2752.0,2679.0,247.0,86000US32195,57599.0,11.89,348.0,No
32198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32202,6523.0,3677.0,2603.0,6188.0,335.0,86000US32202,38590.0,45.77,1748.0,No
32203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32204,7547.0,1932.0,5007.0,7076.0,471.0,86000US32204,60809.0,26.99,1941.0,No
32205,30305.0,7841.0,22022.0,27734.0,2571.0,86000US32205,60879.0,19.14,5777.0,No
32206,16027.0,11671.0,4450.0,15321.0,706.0,86000US32206,40572.0,32.98,5220.0,No
32207,35488.0,6485.0,25132.0,29725.0,5763.0,86000US32207,60315.0,19.72,6961.0,No
32208,30841.0,25269.0,5673.0,30141.0,700.0,86000US32208,45093.0,23.69,7283.0,No
32209,34945.0,32813.0,2016.0,33851.0,1094.0,86000US32209,29088.0,37.2,12760.0,No
32210,62048.0,24782.0,34861.0,56780.0,5268.0,86000US32210,57594.0,16.68,10314.0,No
32211,35657.0,14501.0,20203.0,31152.0,4505.0,86000US32211,50223.0,15.74,5560.0,No
32212,2466.0,505.0,1933.0,1989.0,477.0,86000US32212,37115.0,10.36,94.0,No
32214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32216,38231.0,8213.0,26186.0,32535.0,5696.0,86000US32216,63803.0,20.2,7535.0,No
32217,19899.0,2758.0,16190.0,17012.0,2887.0,86000US32217,67589.0,13.74,2689.0,No
32218,64007.0,33297.0,29126.0,59815.0,4192.0,86000US32218,68165.0,13.71,8628.0,No
32219,12685.0,7630.0,4596.0,12380.0,305.0,86000US32219,54618.0,16.54,2068.0,No
32220,12981.0,2566.0,10293.0,12705.0,276.0,86000US32220,75262.0,14.96,1929.0,No
32221,30900.0,10420.0,18355.0,28624.0,2276.0,86000US32221,69423.0,12.22,3746.0,No
32222,11521.0,4626.0,5965.0,9559.0,1962.0,86000US32222,66912.0,13.86,1588.0,No
32223,24571.0,946.0,22801.0,22876.0,1695.0,86000US32223,96932.0,5.84,1434.0,No
32224,44058.0,5143.0,37272.0,38175.0,5883.0,86000US32224,104324.0,7.55,3008.0,No
32225,55018.0,9174.0,42223.0,50100.0,4918.0,86000US32225,84784.0,7.17,3935.0,No
32226,15667.0,2554.0,12609.0,14688.0,979.0,86000US32226,89312.0,6.11,954.0,No
32227,3337.0,437.0,2551.0,2807.0,530.0,86000US32227,59479.0,3.31,56.0,No
32228,470.0,66.0,387.0,407.0,63.0,86000US32228,N/A,N/A,N/A,No
32229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32230,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32233,24979.0,3112.0,21118.0,22991.0,1988.0,86000US32233,76882.0,8.21,1883.0,No
32234,5867.0,442.0,5279.0,5518.0,349.0,86000US32234,65110.0,9.69,566.0,No
32235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32244,59402.0,22130.0,31650.0,51589.0,7813.0,86000US32244,59779.0,15.07,8883.0,No
32245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32246,51589.0,9157.0,35132.0,43397.0,8192.0,86000US32246,68119.0,12.3,6326.0,No
32247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32250,27246.0,855.0,25991.0,24920.0,2326.0,86000US32250,114897.0,7.23,1951.0,No
32254,13431.0,8204.0,5159.0,12668.0,763.0,86000US32254,37591.0,29.42,3818.0,No
32255,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32256,47943.0,9351.0,32869.0,42008.0,5935.0,86000US32256,82088.0,9.12,4357.0,No
32257,39000.0,5504.0,31117.0,34836.0,4164.0,86000US32257,78984.0,7.89,3047.0,No
32258,34036.0,3780.0,25579.0,31297.0,2739.0,86000US32258,92795.0,6.41,2158.0,No
32259,52296.0,3059.0,46929.0,48453.0,3843.0,86000US32259,125033.0,2.87,1497.0,No
32260,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32266,7101.0,63.0,6761.0,6737.0,364.0,86000US32266,106687.0,9.18,650.0,No
32267,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32277,32327.0,14232.0,17073.0,29303.0,3024.0,86000US32277,60658.0,11.57,3621.0,No
32290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32301,31317.0,15687.0,14941.0,29465.0,1852.0,86000US32301,55602.0,24.28,7125.0,No
32302,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32303,48507.0,17343.0,30450.0,46091.0,2416.0,86000US32303,66920.0,18.49,8924.0,No
32304,49927.0,19271.0,28461.0,45392.0,4535.0,86000US32304,30806.0,56.03,23772.0,No
32305,20902.0,12337.0,8518.0,19644.0,1258.0,86000US32305,44182.0,24.45,4984.0,No
32306,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32308,22029.0,5347.0,16414.0,21005.0,1024.0,86000US32308,95679.0,10.29,2186.0,No
32309,31597.0,3758.0,26066.0,29216.0,2381.0,86000US32309,97253.0,5.56,1756.0,No
32310,15544.0,8210.0,6762.0,14308.0,1236.0,86000US32310,46277.0,28.16,4195.0,No
32311,22264.0,6855.0,14126.0,20778.0,1486.0,86000US32311,86347.0,4.77,1014.0,No
32312,32783.0,3488.0,27172.0,31346.0,1437.0,86000US32312,114956.0,6.28,2058.0,No
32313,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32317,14876.0,1974.0,12199.0,13931.0,945.0,86000US32317,101385.0,5.3,783.0,No
32318,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
32320,3887.0,807.0,2961.0,3762.0,125.0,86000US32320,55000.0,16.42,633.0,No
32321,6321.0,1371.0,4824.0,5929.0,392.0,86000US32321,39811.0,18.71,921.0,No
32322,3994.0,867.0,2934.0,3622.0,372.0,86000US32322,51667.0,21.81,544.0,No
