geoid,Zipcode,Median_Income
86000US32832,32832,103342
86000US32833,32833,75833
86000US32835,32835,64965
86000US32836,32836,126733
86000US32837,32837,66614
86000US32839,32839,43554
86000US32901,32901,50587
86000US32903,32903,109077
86000US32904,32904,80522
86000US32905,32905,53766
86000US32907,32907,59815
86000US32908,32908,52981
86000US32909,32909,56897
86000US32920,32920,72461
86000US32922,32922,41491
86000US32925,32925,52167
86000US32926,32926,62067
86000US32927,32927,70776
86000US32931,32931,97833
86000US32934,32934,101526
86000US32935,32935,61370
86000US32937,32937,92177
86000US32940,32940,89569
86000US32948,32948,44915
86000US32949,32949,89028
86000US32950,32950,82656
86000US32951,32951,86532
86000US32952,32952,93429
86000US32953,32953,81617
86000US32955,32955,85536
86000US32958,32958,64081
86000US32960,32960,60515
86000US32962,32962,59177
86000US32963,32963,147973
86000US32966,32966,66760
86000US32967,32967,65222
86000US32968,32968,85125
86000US32970,32970,
86000US32976,32976,45635
86000US33001,33001,70083
86000US33004,33004,57440
86000US33009,33009,46695
86000US33010,33010,36846
86000US33012,33012,38052
86000US33013,33013,46370
86000US33014,33014,46555
86000US33015,33015,57520
86000US33016,33016,52732
86000US33018,33018,68629
86000US33019,33019,108832
86000US33020,33020,50946
86000US33021,33021,69468
86000US33023,33023,54309
86000US33024,33024,69245
86000US33025,33025,66098
86000US33026,33026,93990
86000US33027,33027,82806
86000US33028,33028,109199
86000US33029,33029,117723
86000US33030,33030,37761
86000US33031,33031,83239
86000US33032,33032,52833
86000US33033,33033,47500
86000US33034,33034,31250
86000US33035,33035,70528
86000US33036,33036,93750
86000US33037,33037,74441
86000US33039,33039,89432
86000US33040,33040,80682
86000US33042,33042,101921
86000US33043,33043,89125
86000US33050,33050,67708
86000US33051,33051,120875
86000US33054,33054,33100
86000US33055,33055,48644
86000US33056,33056,46568
86000US33060,33060,48977
86000US33062,33062,90588
86000US33063,33063,61284
86000US33064,33064,57354
86000US33065,33065,60707
86000US33066,33066,68128
86000US33067,33067,124747
86000US33068,33068,54069
86000US33069,33069,58622
86000US33070,33070,105547
86000US33071,33071,100531
86000US33073,33073,79277
86000US33076,33076,142332
86000US33101,33101,
86000US33109,33109,
86000US33122,33122,
86000US33125,33125,33606
86000US33126,33126,41600
86000US33127,33127,37716
86000US33128,33128,26481
86000US33129,33129,96176
86000US33130,33130,38175
86000US33131,33131,122077
86000US33132,33132,100320
86000US33133,33133,73523
86000US33134,33134,94786
86000US33135,33135,30983
86000US33136,33136,30618
86000US33137,33137,71164
86000US33138,33138,60076
86000US33139,33139,70253
86000US33140,33140,109531
86000US33141,33141,57092
86000US33142,33142,33345
86000US33143,33143,101000
86000US33144,33144,52059
86000US33145,33145,60873
86000US33146,33146,177067
86000US33147,33147,36743
86000US33149,33149,180640
86000US33150,33150,36719
86000US33154,33154,100589
86000US33155,33155,76987
86000US33156,33156,155366
86000US33157,33157,70447
86000US33158,33158,184712
86000US33160,33160,77376
86000US33161,33161,43391
86000US33162,33162,48996
86000US33165,33165,61366
86000US33166,33166,59189
86000US33167,33167,43498
86000US33168,33168,49428
86000US33169,33169,50124
86000US33170,33170,44654
86000US33172,33172,51775
86000US33173,33173,80685
86000US33174,33174,59488
86000US33175,33175,62779
86000US33176,33176,88375
86000US33177,33177,62131
86000US33178,33178,80114
86000US33179,33179,58475
86000US33180,33180,100599
86000US33181,33181,54375
86000US33182,33182,83110
86000US33183,33183,65737
86000US33184,33184,60990
86000US33185,33185,89825
86000US33186,33186,73533
86000US33187,33187,82485
86000US33189,33189,66635
86000US33190,33190,63200
86000US33193,33193,64294
86000US33194,33194,120456
86000US33196,33196,80442
86000US33301,33301,147589
86000US33304,33304,80788
86000US33305,33305,126193
86000US33306,33306,108452
86000US33308,33308,98188
86000US33309,33309,57943
86000US33311,33311,41071
86000US33312,33312,60772
86000US33313,33313,44563
86000US33314,33314,53950
86000US33315,33315,85047
86000US33316,33316,106201
86000US33317,33317,76221
86000US33319,33319,54466
86000US33321,33321,58972
86000US33322,33322,73510
86000US33323,33323,103806
86000US33324,33324,76828
86000US33325,33325,89604
