Zipcode,Total
34607,8403
34608,34802
34609,42227
34610,14698
34613,17924
34614,7195
34637,8411
34638,28609
34639,29395
34652,23688
34653,34588
34654,22935
34655,41872
34661,104
34667,33272
34668,48146
34669,13304
34677,22169
34679,43
34681,730
34683,33514
34684,29088
34685,17998
34688,7443
34689,27445
34690,11408
34691,20257
34695,18382
34698,38720
34705,2860
34711,61594
34714,22380
34715,18241
34731,14858
34734,4591
34736,19271
34737,2942
34739,243
34741,47710
34743,45109
34744,57134
34746,44307
34747,21354
34748,39977
34753,5932
34756,3505
34758,43143
34759,40713
34760,863
34761,45864
34762,544
34769,24995
34771,21052
34772,31436
34773,3728
34785,38097
34786,45836
34787,69976
34788,18193
34797,1041
34945,5187
34946,6079
34947,14155
34949,7663
34950,16603
34951,17106
34952,41567
34953,70705
34956,10258
34957,23204
34972,20877
34974,23952
34981,5393
34982,25135
34983,42818
34984,16035
34986,28265
34987,9717
34990,29999
34994,17800
34996,10741
34997,44632
