Zipcode,NotHisp_Latino,Hisp_Latino
33413,11253,6234
33414,45633,15690
33415,23137,28654
33417,24458,9285
33418,36294,4632
33426,19560,4306
33428,31970,9471
33430,15383,7789
33431,18106,3504
33432,17519,2968
33433,33398,6859
33434,17665,2821
33435,31331,4835
33436,36490,7999
33437,34445,3707
33438,166,201
33440,9832,9929
33441,23620,3703
33442,23710,5254
33444,21906,2691
33445,27956,3747
33446,23147,2859
33449,9944,2377
33455,20913,1287
33458,48550,10164
33460,17535,15038
33461,22403,25332
33462,24674,8567
33463,41861,21716
33467,43415,10846
33469,13850,1074
33470,20689,6628
33471,5173,1693
33472,17246,2679
33473,10032,2178
33476,6588,1925
33477,11868,740
33478,12808,1259
33480,9513,518
33483,12240,463
33484,23870,2429
33486,19756,3569
33487,18180,2497
33493,4241,1291
33496,19394,3136
33498,12600,2550
33503,122,40
33510,21386,8188
33511,43448,15385
33513,11021,1692
33514,2365,352
33521,524,33
33523,14080,4755
33525,17368,3208
33527,10597,4495
33534,10972,6151
33538,4556,172
33540,7579,1073
33541,19412,2200
33542,18920,3137
33543,22021,6135
33544,21939,6248
33545,14831,4761
33547,22414,3493
33548,6140,1082
33549,14642,3356
33556,20263,2919
33558,19569,4679
33559,14786,3687
33563,17416,10617
33565,14247,3617
33566,15322,6183
33567,8201,3994
33569,22214,6228
33570,18017,11950
33572,17257,3123
33573,21625,1545
33576,4250,293
33578,37102,15384
33579,26305,9700
33584,20910,5888
33585,1041,92
33592,10386,1160
33594,26619,8322
33596,26236,4594
33597,6910,792
33598,10205,9848
33602,12528,3058
33603,14609,6757
33604,23326,16278
33605,12772,4883
33606,17870,2706
33607,12949,11435
33609,13493,4874
33610,36923,9876
33611,27555,5515
33612,32357,19388
33613,24132,12138
33614,16302,32758
33615,22954,24558
33616,14115,2666
33617,35550,11891
33618,19676,7676
33619,25543,14549
33620,4398,920
33621,2268,483
33624,25981,13822
33625,18117,9188
33626,25226,5517
33629,23926,3135
33634,11092,11627
33635,12608,6042
33637,13798,3757
33647,59158,11846
33701,14498,1230
33702,29479,2540
33703,23397,2302
33704,15809,1173
33705,27394,1463
33706,15428,893
33707,23149,1618
33708,15137,946
33709,22122,2497
33710,30558,3664
33711,18536,1170
33712,23686,1052
33713,28840,3508
33714,19591,2275
33715,6985,311
33716,15939,2303
33744,111,11
33755,20648,5968
33756,28410,5561
33759,15072,3164
33760,14081,3255
33761,18098,1696
33762,7547,808
33763,16828,2902
33764,25141,2179
33765,11330,3414
33767,7092,360
33770,24323,2304
33771,25427,4938
33772,21137,1988
33773,16453,1142
33774,17065,1032
33776,13053,520
33777,15672,1076
33778,13570,1012
33781,21103,3753
33782,21022,2421
33785,5251,181
33786,1433,132
33801,27825,6545
33803,25024,4436
33805,20657,4872
33809,25944,4403
33810,42928,8211
33811,18725,3568
33812,11426,1572
33813,32716,5498
33815,10135,5013
33823,28122,5493
33825,20129,6291
33827,2831,231
33830,23699,5185
33834,4166,3358
33837,20046,10588
33838,2735,1623
33839,2515,841
33841,6289,2680
33843,8172,2860
33844,21536,15165
33847,154,22
33848,257,765
