State,Zipcode,Recipients_Total,Grants_Total
Florida,33547,5,543485.46
Florida,33549,3,290617.68
Florida,33556,3,439836.05
Florida,33558,6,1049352.61
Florida,33559,4,265775.17
Florida,33563,10,955144
Florida,33565,1,65708
Florida,33566,1,132757.5
Florida,33569,6,1463886.15
Florida,33570,5,411021.02
Florida,33572,5,650391.5
Florida,33573,5,511689.65
Florida,33578,19,2750769.33
Florida,33579,4,816058.53
Florida,33584,5,807295.18
Florida,33592,1,290095
Florida,33594,5,391105.06
Florida,33596,3,383190.37
Florida,33602,45,12946099.39
Florida,33603,12,1413259.87
Florida,33604,10,1209189.97
Florida,33605,24,5337282.6
Florida,33606,14,4915726.37
Florida,33607,25,8220945.24
Florida,33608,1,417671
Florida,33609,10,3200052.54
Florida,33610,9,2170344.32
Florida,33611,9,3689994.03
Florida,33612,27,5179812.6
Florida,33613,5,840144.79
Florida,33614,12,2075653.86
Florida,33615,8,1236229.4
Florida,33617,15,2857849.8
Florida,33618,18,2773328.88
Florida,33619,15,2946672.09
Florida,33624,6,314257.73
Florida,33625,8,1076101.64
Florida,33626,6,778819.33
Florida,33629,16,3156218.29
Florida,33634,8,1240883.73
Florida,33635,5,292257.75
Florida,33637,2,210909.57
Florida,33647,23,5447459.22
Florida,33701,33,6913759.59
Florida,33702,6,2413785.66
Florida,33703,7,222800.25
Florida,33704,3,1583984.4
Florida,33705,9,1407926.23
Florida,33706,11,2174070.48
Florida,33707,10,1381096.36
Florida,33708,8,1327043.35
Florida,33709,4,842061.14
Florida,33710,16,2701388.73
Florida,33711,3,125552.93
Florida,33712,6,420774.42
Florida,33713,10,1457718.59
Florida,33714,4,565885.09
Florida,33715,4,470257.8
Florida,33716,10,2420459.17
Florida,33755,11,649069.07
Florida,33756,5,503574.69
Florida,33759,7,690878.04
Florida,33760,2,183787
Florida,33761,12,1767296.76
Florida,33762,7,2237529.18
Florida,33763,5,624946
Florida,33764,5,520837.89
Florida,33765,6,455403.33
Florida,33767,5,1668421.32
Florida,33770,10,1668461.82
Florida,33771,5,323380.83
Florida,33772,2,346443
Florida,33773,4,457955.29
Florida,33774,4,126456.35
Florida,33776,2,101783
Florida,33777,3,201270
Florida,33778,3,441517.13
Florida,33781,10,1821830.9
Florida,33785,7,1067575.12
Florida,33801,16,1033469.51
Florida,33803,9,1420771.7
Florida,33805,6,197251.82
Florida,33809,9,1388238.38
Florida,33811,1,123712
Florida,33812,1,26205.09
Florida,33813,6,509268.5
Florida,33815,1,191138.03
Florida,33823,3,289767.63
Florida,33825,1,30137.25
Florida,33827,1,80322.61
Florida,33830,7,1877412.53
Florida,33837,5,466247.49
Florida,33838,2,223301.34
Florida,33844,2,197348.96
Florida,33848,1,59141
Florida,33850,2,185452.59
Florida,33852,2,1587750.62
Florida,33853,2,60173.15
Florida,33859,2,119899.01
Florida,33868,1,48987
Florida,33870,4,152490.43
Florida,33872,1,79166.67
Florida,33873,1,26152
Florida,33875,1,26293.31
Florida,33876,1,38243.98
Florida,33880,10,3399649.18
Florida,33881,9,540974.95
Florida,33884,4,283097.35
Florida,33896,6,1239876.72
Florida,33897,3,297626.39
Florida,33898,4,294336.39
Florida,33901,15,2066006.76
Florida,33903,4,808877.81
Florida,33904,12,1293885.25
Florida,33905,4,744342.91
Florida,33907,11,4184117.62
Florida,33908,17,2531848.3
Florida,33909,1,56035
Florida,33912,4,658721.73
Florida,33913,6,3831534.28
