Zipcode,Below_Poverty_Percent,Below_Poverty_Total
34420,13.05,2288
34428,24.45,2211
34429,15.18,1226
34431,15.48,1234
34432,16.70,2061
34433,15.47,1011
34434,9.65,774
34436,15.27,1226
34442,12.61,1840
34445,N/A,N/A
34446,11.75,2042
34448,15.45,1584
34449,26.74,846
34450,13.96,1484
34452,17.55,2047
34453,20.56,2146
34461,13.85,1371
34465,18.90,3295
34470,21.20,4107
34471,12.82,3224
34472,19.92,6219
34473,9.67,1933
34474,13.59,2258
34475,43.05,4984
34476,6.96,1619
34479,17.18,2312
34480,11.67,2231
34481,13.07,2735
34482,19.54,3589
34484,7.86,286
34488,17.30,1789
34491,12.81,3395
34498,27.32,159
34601,17.80,3933
34602,17.19,1276
34604,13.72,1576
34606,18.15,4927
34607,16.38,1375
34608,14.65,5042
34609,10.79,4541
34610,17.86,2618
34613,11.64,2081
34614,9.95,714
34637,4.51,262
34638,6.79,1936
34639,5.37,1568
34652,16.33,3850
34653,17.24,5809
34654,12.60,2880
34655,7.42,3094
34661,32.69,34
34667,16.27,5317
34668,18.48,8864
34669,14.66,1934
34677,8.86,1952
34679,0.00,0
34681,13.70,100
34683,8.12,2713
34684,6.14,1756
34685,7.97,1428
34688,10.68,793
34689,13.06,3528
34690,19.51,2226
34691,17.99,3630
34695,5.53,1003
34698,9.52,3648
34705,14.69,420
34711,8.88,5437
34714,13.76,3076
34715,4.92,833
34731,13.97,2070
34734,3.43,157
34736,10.95,2098
34737,8.09,238
34739,21.40,52
34741,27.72,13041
34743,15.51,6994
34744,10.52,5956
34746,12.39,5459
34747,10.78,2287
34748,15.70,6228
34753,29.45,1745
34756,7.48,262
34758,15.68,6759
34759,16.28,6611
34760,8.92,77
34761,11.30,5152
34762,2.39,13
34769,19.37,4774
34771,4.37,918
34772,8.09,2528
34773,11.17,412
34785,7.35,2278
34786,9.02,4120
34787,9.36,6468
34788,10.62,1933
34797,9.99,104
34945,18.06,718
34946,19.91,1206
34947,30.21,4228
34949,8.64,658
34950,35.90,5897
34951,13.33,2268
34952,11.51,4720
34953,8.85,6231
34956,26.74,2331
34957,8.92,2058
34972,23.05,4098
34974,18.92,4512
34981,19.84,1061
34982,19.79,4941
34983,9.76,4170
34984,7.43,1191
34986,10.56,2981
34987,3.98,387
34990,5.74,1714
34994,11.42,1946
34996,7.47,801
34997,10.34,4584
